,Name,Data,Occupation,Location
0,  Waxit Lagos  ,"        7A Taiye Olowu St, Lekki Phase 1 234000, Lagos        ,0701 177 2168        ,CFWF+7M Lagos        ",Spa,Lagos
1,  Nellylind Spa  ,"        Local Government, 3 Seriki Aro Avenue Ikeja, 100282, Lagos        ,0704 459 0903        ,H8XR+9G Lagos        ",Spa,Lagos
2,  D' Oge Spa  ,"        1Morocco Road Opposite Amry Barracks Igbobi Yaba Lagos Somolu, 905102, Lagos        ,0805 313 7164        ,G9HF+5P Lagos        ",Spa,Lagos
3,  IMPERIAL MONTE  ,"        12 Morris St, Abule ijesha 100001, Lagos        ,0704 537 7444        ,G9CJ+G4 Lagos        ",Spa,Lagos
4,  Sage and Skin Spa  ,"0703 243 2966        ,G96P+XC Lagos        ",Spa,Lagos
5,  Silence by SPAH  ,"        28 Akinhanmi St, Surulere 101283, Lagos        ,0701 575 5035        ,G987+J7 Lagos        ",Spa,Lagos
6,"  Cube Salon, Spa And Makeup Studio  ","        8 Lateef Shofowora Street, General Hospital Rd, Gbagada, Lagos        ,cubespa.com.ng        ,cubespa.com.ng        ,0902 220 0499        ,H92Q+WX Lagos        ",Spa,Lagos
7,  Amani Spa Lagos  ,"        Local Government Area, 38/40 Isaac John St, Ikeja GRA 100271, Ikeja, Lagos        ,Located in: Radisson Blu Hotel, Lagos Ikeja        ,0908 720 5565        ,H9J5+MF Ikeja        ",Spa,Lagos
8,  The Spa Melori  ,"        Estate Phase 2, 5A Residence Rd, Gbagada 100234, Lagos        ,0818 711 8170        ,G9WJ+9Q Lagos        ",Spa,Lagos
9,  FyzzoGlowSPA  ,"        Alaka, Abule Ijesha Rd, Yaba, Lagos        ,fyzzoglowspa.business.site        ,0701 133 0070        ,G9FJ+59 Lagos        ",Spa,Lagos
10,  Bioviva Holistic Spa | Lagos  ,"0901 000 2221        ,G8VJ+CX Lagos        ",Spa,Lagos
11,  Facial Bar MedSpa & Salon  ,"        9 Akarigbere, Off Idejo St, Victoria Island, Lagos        ,0805 330 9692        ,CCG7+28 Lagos        ",Spa,Lagos
12,"  Tirta Ayu Spa, Victoria Island  ","        8 Olabode George St, Victoria Island 106104, Lagos        ,tirtaayuspa.com.ng        ,0706 607 1319        ,CCHQ+P3 Lagos        ",Spa,Lagos
13,  Jane's Haven Beauty Spa  ,"        15a JohnVic Igboanugo St, off Chris Madueke Dr, Lekki Phase I, Lagos        ,0809 333 3247        ,CFQ6+QC Lagos        ",Spa,Lagos
14,  ORIKI Spa & Products @ Oriental Hotel  ,"        4th Floor, New Wing, 3 Lekki Expressway Oriental Hotel, VI, Lagos        ,Floor 4 Â· Lagos Oriental Hotel        ,0807 771 9360        ,CCPV+9G Lagos        ",Spa,Lagos
15,  Clear Essence California Spa & Wellness Resort  ,"        13 Alexander Rd, Ikoyi 101233, Lagos        ,0808 586 7565        ,FC2X+5G Lagos        ",Spa,Lagos
16,  Bnatural-THE SPA GROUP  ,"        11 Oduduwa Way, Ikeja GRA 101233, Ikeja, Lagos        ,0809 803 8772        ,H9F5+GQ Ikeja        ",Spa,Lagos
17,  Pax & Pearl Body Works (Spa in Lagos)  ,"        Suite 12, Okaka Plaza, 1st Ave, beside Technoil, Festac Town 102102, Lagos        ,0706 430 2016        ,F79W+VM Lagos        ",Spa,Lagos
18,  Shades Of Beauty & Spa  ,"        6 Ibezim Obiajulu St, Surulere 101241, Lagos        ,0909 881 0369        ,F9X2+R6 Lagos        ",Spa,Lagos
19,  House of Phreedah Body Care & Spa  ,"        58/60 Akerele Street, 116 Akerele Road, opposite Randle Avenue, beside celestial church, Surulere, Lagos        ,0803 701 8772        ,G934+X5 Lagos        ",Spa,Lagos
